date;asad;kurds;isis_syria;turkeysyria;syrian_rebels;others
1445814000000;16,49;0;83,51;0;0;0
1446418800000;15,55;0;84,45;0;0;0
1447023600000;13,19;8,22;72,16;0;6,43;0
1447628400000;13,32;8,74;71,47;0;6,47;0
1448233200000;13,43;8,66;71,5;0;6,4;0
1448838000000;13,49;8,77;71,4;0;6,34;0
1449442800000;13,48;8,78;71,39;0;6,36;0
1450047600000;13,37;8,71;71,63;0;6,29;0
1450652400000;13,36;8,71;71,67;0;6,25;0
1451257200000;13,3;8,81;71,69;0;6,2;0
1451862000000;13,37;8,61;71,85;0;6,17;0
1452466800000;13,36;8,58;71,92;0;6,14;0
1453071600000;13,48;8,63;71,76;0;6,14;0
1453676400000;13,59;8,69;71,57;0;6,14;0
1454281200000;14,11;8,82;70,85;0;6,23;0
1454886000000;14,16;8,83;70,86;0;6,15;0
1455490800000;14,34;8,88;70,68;0;6,09;0
1456095600000;14,32;9,65;69,78;0;6,25;0
1456700400000;14,2;9,22;69,1;0;6,14;1,34
1457305200000;16,68;12,84;50,55;0;7,77;0
1457910000000;19,24;14,61;57,03;0;9,12;0
1458514800000;19,11;14,41;55,51;0;10,96;0
1459116000000;19,14;13,63;55,51;0;11,72;0
1459720800000;19,97;13,48;54,9;0;11,65;0
1460325600000;19,54;13,18;54,15;0;13,13;0
1460930400000;19,53;13,18;54,16;0;13,13;0
1461535200000;19,58;12,86;53,21;0;14,35;0
1462140000000;19,57;12,95;53,19;0;14,29;0
1462744800000;19,61;12,97;53,1;0;14,32;0
1463349600000;19,6;12,98;53,1;0;14,32;0
1463954400000;19,99;13,33;52,07;0;14,61;0
1464559200000;15,67;32,35;40,52;0;11,47;0
1465164000000;9,79;6,91;62,72;0;7,17;0
1465768800000;10,03;7,06;62,29;0;7,2;0
1466373600000;14,19;10,45;62,38;0;12,97;0
1466978400000;14,11;10,57;62,17;0;13,15;0
1467583200000;14,03;10,5;61,88;0;13,17;0,42
1468188000000;14,01;10,49;61,91;0;13,16;0,42
1468792800000;14,14;10,58;61,58;0;13,28;0,42
1469397600000;14,19;10,62;61,45;0;13,32;0,42
1470002400000;12,87;9,59;55,52;0;12,04;9,59
1470607200000;14,13;10,58;61,16;0;13,28;0,42
1471212000000;14,19;10,63;61,42;0;13,33;0,42
1471816800000;14,92;11,26;59,32;0;14,05;0,45
1472421600000;14,9;11,28;59,18;0,13;14,07;0,45
1473026400000;14,69;11,16;59,48;0,28;13,95;0,44
1473631200000;14,71;11,17;59,42;0,42;13,84;0,44
1474236000000;14,63;11,21;59,7;0,43;13,59;0,44
1474840800000;14,75;11,31;59,36;0,44;13,7;0,44
1475445600000;14,73;11,31;59,35;0,45;13,72;0,44
1476050400000;14,74;11,31;59,3;0,5;13,7;0,44
1476655200000;15,36;11,77;57,61;0,58;14,23;0,46
1477260000000;15,4;11,8;57,47;0,61;14,26;0,46
1477868400000;15,67;11,99;56,77;0,63;14,47;0,47
1478473200000;15,65;11,95;56,83;0,65;14,45;0,47
1479078000000;15,44;11,78;57,3;0,78;14,24;0,46
1479682800000;15,77;12,13;56,28;0,81;14,54;0,47
1480287600000;15,79;12,17;56,16;0,85;14,56;0,47
1480892400000;15,77;12,18;56,19;0,85;14,54;0,47
1481497200000;14,6;12,22;57,31;0,85;14,54;0,47
1482102000000;14,38;12,48;57,22;0,86;14,59;0,48
1482706800000;14,39;12,79;56,9;0,86;14,59;0,48
1483311600000;14,4;12,82;60,37;0,86;11,08;0,47
1483916400000;14,43;12,98;60,14;0,87;11,1;0,48
